model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_1,0.28399424383245414,0.17115466952978534,0.838945706344383,0.0911099486424044,0.18243862696005222,0.0,0.0,0.0,1.0
round_2,0.4354665543852274,0.2656832182775244,0.6383427593244135,0.3868848949137617,0.2826615518882947,0.0,0.0,0.0,2.0
round_3,0.49493028136408956,0.3097111373372485,0.5254763467789363,0.4616909941536793,0.32823305173993256,0.0,0.0,0.0,3.0
round_4,0.5362261892177452,0.3335529424640936,0.7007212272103123,0.5052279433967201,0.3538202671394588,0.0,0.0,0.0,4.0
round_5,0.5645129140154124,0.3527500647893632,0.593857535655485,0.5084975425411722,0.37392634971196814,0.0,0.0,0.0,5.0
round_6,0.579067164139085,0.361058020832778,0.8036231664940866,0.49104709810664254,0.3828589351634087,0.0,0.0,0.0,6.0
round_7,0.6044433290213007,0.37766765246823675,0.8029250336598945,0.5091327665560014,0.4003452201235432,0.0,0.0,0.0,7.0
round_8,0.6207379952592402,0.3868891439077077,0.81544469694135,0.5256970185674729,0.4102740290428609,0.0,0.0,0.0,8.0
round_9,0.6299148888369216,0.400067892315685,0.8020299777782521,0.5330505250926415,0.4230525919678087,0.0,0.0,0.0,9.0
round_10,0.6303228561853754,0.4044663189336501,0.7398471035339123,0.5732853563345638,0.42705197265882266,0.0,0.0,0.0,10.0
round_11,0.6546738290897659,0.4170452237187921,0.8398471463368413,0.5638012587175381,0.44080808425588947,0.0,0.0,0.0,11.0
round_12,0.6601536464019401,0.42060035549376285,0.7327967574631208,0.6134710108527858,0.4445556845845806,0.0,0.0,0.0,12.0
round_13,0.6635704777429067,0.4248079101344803,0.7562432535237223,0.5853986402775376,0.448684166895323,0.0,0.0,0.0,13.0
round_14,0.6722079198540089,0.42694133665791906,0.8430256681727814,0.5803441313628266,0.45146799497752804,0.0,0.0,0.0,14.0
round_15,0.6751087870370076,0.4233946145419829,0.8169964555091462,0.5898731053986247,0.4485660317914854,0.0,0.0,0.0,15.0
round_16,0.66907827719896,0.42180606803881826,0.8207433213799403,0.5927621417716286,0.44653328895483246,0.0,0.0,0.0,16.0
round_17,0.6816043174914055,0.4407346465397263,0.8405904763854182,0.5847997363786867,0.46482161363489427,0.0,0.0,0.0,17.0
round_18,0.6778995597708547,0.43201403226503327,0.8060036193581767,0.589546535594114,0.4566025850156154,0.0,0.0,0.0,18.0
round_19,0.6769410863916006,0.43508584577607784,0.7994362313199438,0.6099306668369894,0.4592713698376302,0.0,0.0,0.0,19.0
round_20,0.6838426206930949,0.4369642059002438,0.8234182600934801,0.597886136289487,0.4616520473795289,0.0,0.0,0.0,20.0
round_21,0.6788725743620608,0.4418394817189221,0.791786480755521,0.6129264040192665,0.46554279098323603,0.0,0.0,0.0,21.0
round_22,0.6855986060054826,0.44164890350986596,0.7178605929608964,0.6331741601287938,0.46604387375942763,0.0,0.0,0.0,22.0
