epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08813,1.75123,4.29096,1.29269,0.00552,0.30969,0.06262,0.03604,1.63354,3.97271,1.11081,9.09e-05,9.09e-05,9.09e-05
2,10.4766,1.67258,3.31048,1.19086,0.0098,0.47274,0.11185,0.05616,1.61445,3.72986,1.08268,0.000153094,0.000153094,0.000153094
3,17.8703,1.59054,2.18861,1.13684,0.01105,0.51779,0.11544,0.06074,1.63992,3.55994,1.11272,0.000175692,0.000175692,0.000175692
4,26.4905,1.48928,1.77267,1.12325,0.01251,0.59782,0.23105,0.12291,1.43104,3.38552,1.03789,0.000158693,0.000158693,0.000158693
5,34.3559,1.42107,1.61815,1.11093,0.9549,0.03292,0.26431,0.15277,1.36957,3.24137,1.02725,0.000102099,0.000102099,0.000102099
1,3.42083,1.34279,1.66117,1.09946,0.7409,0.58166,0.68358,0.45454,1.2748,1.48854,1.04826,9.09e-05,9.09e-05,9.09e-05
2,7.77009,1.28546,1.22855,1.06965,0.64454,0.66979,0.73218,0.48559,1.24597,1.20192,1.04936,0.000153094,0.000153094,0.000153094
3,16.3375,1.25844,1.12274,1.03663,0.79454,0.66067,0.75625,0.5195,1.21107,1.09523,1.02148,0.000175692,0.000175692,0.000175692
4,26.2449,1.19404,1.03442,1.03264,0.81797,0.69052,0.78819,0.53306,1.20002,1.04634,1.0236,0.000158693,0.000158693,0.000158693
5,34.8331,1.17504,1.01314,1.03629,0.82278,0.71705,0.80152,0.55456,1.17972,1.01507,1.02088,0.000102099,0.000102099,0.000102099
1,9.1113,1.24822,1.22071,1.07153,0.75235,0.6812,0.7643,0.52469,1.15209,1.06724,1.01814,9.09e-05,9.09e-05,9.09e-05
2,19.5036,1.19467,0.96288,1.04785,0.739,0.67497,0.75631,0.51507,1.14869,1.06663,1.01556,0.000153094,0.000153094,0.000153094
3,27.6707,1.1693,0.92397,1.01385,0.8072,0.72294,0.80457,0.56495,1.14289,0.89342,1.00369,0.000175692,0.000175692,0.000175692
4,37.786,1.11929,0.86707,1.01124,0.84367,0.75125,0.82519,0.58398,1.09705,0.87365,0.99498,0.000158693,0.000158693,0.000158693
5,46.8043,1.11063,0.86736,1.01407,0.87855,0.72889,0.83811,0.59354,1.09121,0.83645,0.98624,0.000102099,0.000102099,0.000102099
1,2.24487,1.21132,1.08073,1.06098,0.74557,0.72655,0.81063,0.55972,1.11097,0.95625,1.00573,9.09e-05,9.09e-05,9.09e-05
2,3.87066,1.15819,0.87718,1.03641,0.77735,0.66712,0.76768,0.5231,1.11962,1.04931,1.0117,0.000153094,0.000153094,0.000153094
3,6.76888,1.13366,0.84944,1.00701,0.79319,0.76314,0.8353,0.58821,1.11278,0.83326,0.99122,0.000175692,0.000175692,0.000175692
4,13.1162,1.08471,0.79329,1.00175,0.83549,0.79018,0.85224,0.59965,1.08121,0.79877,0.9864,0.000158693,0.000158693,0.000158693
5,23.2199,1.07958,0.80013,1.00354,0.87167,0.79714,0.8716,0.61301,1.06905,0.77973,0.98409,0.000102099,0.000102099,0.000102099
1,9.06631,1.17717,0.99975,1.04642,0.78025,0.75791,0.83413,0.58662,1.07825,0.876,0.98526,9.09e-05,9.09e-05,9.09e-05
2,19.6528,1.1193,0.82531,1.0228,0.79677,0.72583,0.83292,0.57223,1.09425,0.89192,0.99303,0.000153094,0.000153094,0.000153094
3,27.9018,1.11659,0.80519,0.99884,0.81374,0.77504,0.8631,0.60411,1.10145,0.79002,0.98102,0.000175692,0.000175692,0.000175692
4,38.0679,1.05726,0.75179,0.99234,0.86148,0.74541,0.87038,0.61609,1.03649,0.74191,0.9699,0.000158693,0.000158693,0.000158693
5,46.7978,1.05007,0.76159,0.99074,0.88543,0.77689,0.88207,0.62247,1.02745,0.74376,0.96932,0.000102099,0.000102099,0.000102099
1,2.14088,1.15273,0.95158,1.03484,0.86227,0.74927,0.85051,0.60836,1.06776,0.8244,0.98263,9.09e-05,9.09e-05,9.09e-05
2,3.82269,1.09898,0.79562,1.01474,0.77498,0.78689,0.84504,0.5911,1.04799,0.84385,0.96949,0.000153094,0.000153094,0.000153094
3,8.18633,1.09605,0.77376,0.98913,0.79918,0.79884,0.86445,0.61326,1.07835,0.75211,0.97114,0.000175692,0.000175692,0.000175692
4,18.2654,1.03223,0.72697,0.98224,0.87942,0.76573,0.87084,0.6296,1.03065,0.73213,0.96353,0.000158693,0.000158693,0.000158693
5,27.0498,1.03373,0.74008,0.98924,0.86407,0.799,0.88381,0.63079,1.02953,0.70621,0.96427,0.000102099,0.000102099,0.000102099
1,7.34362,1.13369,0.92173,1.02968,0.8346,0.7714,0.86185,0.61878,1.03481,0.78786,0.9663,9.09e-05,9.09e-05,9.09e-05
2,18.1564,1.07952,0.77086,1.00836,0.84195,0.79329,0.8634,0.61347,1.03741,0.78165,0.96324,0.000153094,0.000153094,0.000153094
3,26.3855,1.07117,0.7567,0.98101,0.85997,0.77716,0.87997,0.63154,1.03947,0.74341,0.96163,0.000175692,0.000175692,0.000175692
4,37.1542,1.01828,0.7101,0.97876,0.86093,0.78385,0.87658,0.6389,1.00348,0.70255,0.95561,0.000158693,0.000158693,0.000158693
5,46.0594,1.01872,0.71866,0.98407,0.87979,0.78284,0.8826,0.64684,1.00141,0.68852,0.95179,0.000102099,0.000102099,0.000102099
1,8.89115,1.12888,0.87506,1.03085,0.87862,0.75623,0.86476,0.62373,1.02112,0.76423,0.96459,9.09e-05,9.09e-05,9.09e-05
2,19.6678,1.05777,0.74797,1.00035,0.83308,0.79671,0.86915,0.62682,1.02132,0.7611,0.95846,0.000153094,0.000153094,0.000153094
3,28.1364,1.06134,0.7362,0.97899,0.9444,0.74581,0.88035,0.63859,1.04349,0.72281,0.9657,0.000175692,0.000175692,0.000175692
4,37.8575,1.00696,0.6929,0.97459,0.84528,0.82126,0.87605,0.64461,1.00252,0.69386,0.96334,0.000158693,0.000158693,0.000158693
