epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6043,1.56016,2.44694,1.14724,0.70943,0.09413,0.21099,0.12275,1.45934,2.36555,1.09346,0.000299596,0.000299596,0.000299596
2,84.5749,1.41808,1.47572,1.10544,0.44219,0.37669,0.3977,0.2239,1.34596,1.23146,1.08898,0.000483282,0.000483282,0.000483282
3,126.445,1.34545,1.3242,1.08156,0.60229,0.44605,0.42021,0.24971,1.27787,1.1338,1.06399,0.00054698,0.00054698,0.00054698
4,168.463,1.29651,1.21724,1.06208,0.69328,0.45102,0.5056,0.30023,1.22723,1.0499,1.04454,0.000369054,0.000369054,0.000369054
5,210.154,1.25024,1.1525,1.05005,0.70392,0.47668,0.55794,0.3316,1.18797,0.983,1.02653,0.000189072,0.000189072,0.000189072
1,42.3198,1.22957,1.11042,1.03524,0.55839,0.46851,0.54328,0.31807,1.16704,0.98331,1.03801,0.000299596,0.000299596,0.000299596
2,84.3057,1.2486,1.11648,1.05199,0.50069,0.49953,0.52993,0.31207,1.18842,0.98331,1.04845,0.000483282,0.000483282,0.000483282
3,126.006,1.21766,1.06564,1.04269,0.6936,0.49636,0.52132,0.31193,1.18791,0.99416,1.04466,0.00054698,0.00054698,0.00054698
4,167.524,1.21016,1.02581,1.0347,0.66231,0.5249,0.62894,0.37527,1.15587,0.92437,1.04022,0.000369054,0.000369054,0.000369054
5,205.948,1.169,0.96507,1.02355,0.6137,0.62461,0.66296,0.40073,1.12767,0.85537,1.02877,0.000189072,0.000189072,0.000189072
1,42.5326,1.14765,0.94021,1.00857,0.65405,0.59487,0.65986,0.39122,1.1308,0.86366,1.0257,0.000299596,0.000299596,0.000299596
2,84.5324,1.1724,0.96408,1.02527,0.76907,0.51253,0.63722,0.37037,1.17786,0.88502,1.05026,0.000483282,0.000483282,0.000483282
3,126.026,1.16687,0.94774,1.02205,0.77985,0.51419,0.6003,0.37183,1.1605,0.87782,1.04144,0.00054698,0.00054698,0.00054698
4,167.322,1.16388,0.9124,1.01962,0.6735,0.62489,0.65832,0.41434,1.10948,0.84054,1.02666,0.000369054,0.000369054,0.000369054
5,206.205,1.12185,0.87292,1.0067,0.7571,0.64244,0.70764,0.43818,1.07891,0.78618,1.01551,0.000189072,0.000189072,0.000189072
1,35.3374,1.0941,0.83893,0.99016,0.73183,0.62371,0.69542,0.42294,1.10104,0.7993,1.01769,0.000299596,0.000299596,0.000299596
2,70.5332,1.11923,0.86125,1.0037,0.80417,0.54915,0.67932,0.41096,1.1344,0.82772,1.02769,0.000483282,0.000483282,0.000483282
3,105.334,1.12129,0.86642,1.00535,0.71962,0.61104,0.66591,0.40617,1.11027,0.81508,1.02446,0.00054698,0.00054698,0.00054698
4,139.996,1.12343,0.84218,1.0046,0.65539,0.62699,0.68949,0.43088,1.09545,0.79985,1.02657,0.000369054,0.000369054,0.000369054
5,171.532,1.09132,0.81788,0.996,0.78608,0.67667,0.7365,0.4673,1.05165,0.75742,1.00397,0.000189072,0.000189072,0.000189072
1,41.4595,1.05781,0.77888,0.97728,0.7515,0.68088,0.72243,0.44852,1.06089,0.749,1.00456,0.000299596,0.000299596,0.000299596
2,83.5532,1.0831,0.80282,0.98979,0.65039,0.6154,0.67919,0.39827,1.12494,0.83128,1.03072,0.000483282,0.000483282,0.000483282
3,125.404,1.08947,0.81937,0.99449,0.71099,0.64996,0.70045,0.41872,1.10532,0.80178,1.01906,0.00054698,0.00054698,0.00054698
4,167.073,1.1008,0.80818,0.99692,0.78673,0.6155,0.71839,0.44725,1.06847,0.77293,1.01442,0.000369054,0.000369054,0.000369054
5,208.574,1.07429,0.7776,0.98958,0.75639,0.72869,0.76607,0.47775,1.05403,0.74172,1.00406,0.000189072,0.000189072,0.000189072
1,34.3597,1.02454,0.72873,0.96586,0.79413,0.72738,0.77317,0.47098,1.04587,0.70405,0.99655,0.000299596,0.000299596,0.000299596
2,69.5573,1.05068,0.75355,0.97761,0.59297,0.68012,0.70325,0.43154,1.09448,0.77402,1.01582,0.000483282,0.000483282,0.000483282
3,104.487,1.0654,0.77442,0.98563,0.74358,0.66067,0.71331,0.42538,1.08394,0.78317,1.01917,0.00054698,0.00054698,0.00054698
4,139.276,1.07395,0.76447,0.9882,0.77733,0.70006,0.75177,0.46995,1.05563,0.74237,1.01286,0.000369054,0.000369054,0.000369054
5,174.086,1.05069,0.74149,0.9813,0.77747,0.74401,0.77799,0.5032,1.01692,0.70476,0.99542,0.000189072,0.000189072,0.000189072
1,42.3185,0.99508,0.69624,0.95567,0.8109,0.67524,0.75444,0.48187,1.01941,0.69201,0.98548,0.000299596,0.000299596,0.000299596
2,84.8399,1.03385,0.72926,0.97162,0.7382,0.68746,0.72775,0.44275,1.1098,0.76188,1.01819,0.000483282,0.000483282,0.000483282
3,126.534,1.04666,0.74734,0.97704,0.69461,0.68967,0.7424,0.46598,1.06777,0.76582,1.00873,0.00054698,0.00054698,0.00054698
4,168.064,1.05603,0.74569,0.98178,0.80223,0.71276,0.75367,0.47864,1.03636,0.7246,0.99914,0.000369054,0.000369054,0.000369054
5,205.986,1.03882,0.72846,0.97801,0.84032,0.71097,0.78607,0.51757,1.00411,0.69715,0.98741,0.000189072,0.000189072,0.000189072
1,40.9383,0.97484,0.66938,0.9484,0.81613,0.70642,0.78405,0.50278,1.0017,0.67701,0.97515,0.000299596,0.000299596,0.000299596
2,83.109,1.00991,0.69667,0.95971,0.75556,0.64947,0.71541,0.44698,1.11422,0.77515,1.02806,0.000483282,0.000483282,0.000483282
3,125.055,1.02887,0.72236,0.97275,0.71839,0.68675,0.73242,0.46688,1.04847,0.73838,0.99821,0.00054698,0.00054698,0.00054698
4,166.674,1.04174,0.72541,0.97774,0.75816,0.73748,0.76831,0.49329,1.03205,0.70641,0.99863,0.000369054,0.000369054,0.000369054
5,208.339,1.02108,0.70615,0.97248,0.80168,0.73305,0.78456,0.51455,1.00877,0.68513,0.98901,0.000189072,0.000189072,0.000189072
1,41.1009,0.9541,0.64496,0.9413,0.8638,0.70059,0.79218,0.50039,1.00751,0.66709,0.98184,0.000299596,0.000299596,0.000299596
2,83.0426,1.00148,0.68403,0.95718,0.73614,0.7207,0.75652,0.48732,1.04696,0.7165,0.99847,0.000483282,0.000483282,0.000483282
3,124.75,1.00254,0.69625,0.96108,0.73792,0.73572,0.77706,0.49578,1.03842,0.72432,1.00296,0.00054698,0.00054698,0.00054698
4,166.499,1.02515,0.7015,0.97188,0.83597,0.72794,0.80046,0.51904,1.037,0.70275,1.00343,0.000369054,0.000369054,0.000369054
