epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2754,1.56654,2.42788,1.15521,0.81627,0.11341,0.2472,0.13592,1.4256,2.3682,1.07067,0.000299596,0.000299596,0.000299596
2,85.4067,1.42261,1.45952,1.11722,0.56011,0.35536,0.37342,0.22035,1.35147,1.40545,1.07635,0.000483282,0.000483282,0.000483282
3,127.4,1.3582,1.33153,1.08952,0.61889,0.36408,0.42145,0.23907,1.27538,1.1824,1.05614,0.00054698,0.00054698,0.00054698
4,169.408,1.30161,1.21782,1.0694,0.58933,0.44031,0.47139,0.28476,1.21363,1.05119,1.05425,0.000369054,0.000369054,0.000369054
5,211.106,1.23661,1.13896,1.04906,0.49732,0.5075,0.51868,0.31245,1.16509,0.98547,1.03184,0.000189072,0.000189072,0.000189072
1,40.6345,1.23845,1.11247,1.04549,0.53097,0.52129,0.52902,0.32193,1.17756,1.00902,1.03201,0.000299596,0.000299596,0.000299596
2,82.726,1.25392,1.11329,1.06048,0.62382,0.43909,0.47976,0.27876,1.21966,1.09832,1.06077,0.000483282,0.000483282,0.000483282
3,124.497,1.25024,1.08907,1.05753,0.56576,0.51156,0.53247,0.31669,1.18093,0.99358,1.04438,0.00054698,0.00054698,0.00054698
4,166.204,1.20573,1.02309,1.03976,0.6714,0.49974,0.5753,0.34983,1.13618,0.92861,1.03972,0.000369054,0.000369054,0.000369054
5,207.798,1.16242,0.96405,1.02906,0.64273,0.56807,0.61251,0.38347,1.10294,0.86258,1.01928,0.000189072,0.000189072,0.000189072
1,40.8968,1.15449,0.94268,1.01955,0.62172,0.5975,0.63319,0.3782,1.1334,0.87805,1.03546,0.000299596,0.000299596,0.000299596
2,83.0406,1.18026,0.96019,1.03487,0.62756,0.49599,0.55996,0.34297,1.164,0.91822,1.0459,0.000483282,0.000483282,0.000483282
3,124.808,1.19331,0.96265,1.03674,0.66721,0.5349,0.60928,0.37217,1.13195,0.88029,1.03651,0.00054698,0.00054698,0.00054698
