model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_28,0.8747920666682739,0.619162023202023,0.9126226015012296,0.7949308965058213,0.6447250275486481,0.0,0.0,0.0,28.0
round_29,0.8668205221949543,0.618249045365866,0.8892697666261835,0.791209939813841,0.6431061930487748,0.0,0.0,0.0,29.0
round_30,0.8645265389092306,0.6215486090111783,0.9065939730230781,0.7990154130818719,0.6458464020009835,0.0,0.0,0.0,30.0
round_31,0.8763070644585912,0.6274524575992887,0.9230058597087339,0.7815370010362163,0.6523379182852189,0.0,0.0,0.0,31.0
round_32,0.8702646945798999,0.6218987276921812,0.901962471222945,0.8079446201536842,0.6467353243809532,0.0,0.0,0.0,32.0
round_33,0.8738467454212521,0.6213322773835088,0.8990645296092697,0.8003433523166822,0.6465837241872832,0.0,0.0,0.0,33.0
round_34,0.876949908078432,0.6277788026571561,0.899576111449065,0.8085457025125878,0.6526959131992838,0.0,0.0,0.0,34.0
round_35,0.8753446117049607,0.6277933880149801,0.8957498647190899,0.8009609540399515,0.6525485103839781,0.0,0.0,0.0,35.0
round_36,0.8832362890769634,0.6327674829365105,0.9224219809142927,0.8016838326504002,0.6578143635505558,0.0,0.0,0.0,36.0
round_37,0.8879506855059393,0.625626998691977,0.917086707823343,0.8112271865462809,0.6518593673733732,0.0,0.0,0.0,37.0
round_38,0.8881440892589778,0.6340206632364539,0.9361619446941062,0.7972100733789386,0.6594330058387062,0.0,0.0,0.0,38.0
round_39,0.8863545377173541,0.6321303283843273,0.8979697390551374,0.8216904013894669,0.65755274931763,0.0,0.0,0.0,39.0
round_40,0.8876370098499281,0.6358944974277049,0.8827842398637927,0.8263616964957441,0.6610687486699272,0.0,0.0,0.0,40.0
round_41,0.8893529947779707,0.6368435042120826,0.8744245371275305,0.8465544534426647,0.6620944532686714,0.0,0.0,0.0,41.0
round_42,0.8940609988911998,0.6368693639607133,0.942004601634088,0.8047434791041891,0.662588527453762,0.0,0.0,0.0,42.0
round_43,0.8931286723097803,0.6350401240769049,0.9291595176286267,0.8225577676170388,0.6608489789001926,0.0,0.0,0.0,43.0
round_44,0.8917812899623732,0.6331387415183406,0.8571112959682514,0.846141868527936,0.6590029963627438,0.0,0.0,0.0,44.0
round_45,0.8854159725689474,0.63209455129574,0.8921025291209554,0.8314705178040026,0.6574266934230608,0.0,0.0,0.0,45.0
round_46,0.888744878617438,0.6405342405075691,0.902910385526357,0.8158048521825176,0.665355304318556,0.0,0.0,0.0,46.0
round_47,0.8901520803958356,0.6310474943096285,0.9255486608209835,0.8034550298571109,0.6569579529182492,0.0,0.0,0.0,47.0
round_48,0.8970344429206507,0.6434466852221455,0.9324553607492915,0.8077594759513697,0.6688054609919961,0.0,0.0,0.0,48.0
round_49,0.883238672943779,0.6302679350123835,0.8745377987602829,0.8368764944643808,0.6555650088055232,0.0,0.0,0.0,49.0
round_50,0.8852459875801697,0.6386280024437864,0.8642739211750695,0.8351728116273647,0.6632898009574247,0.0,0.0,0.0,50.0
round_51,0.8952029860114102,0.6314292211342712,0.9320805590333913,0.8107561539772651,0.6578065976219851,0.0,0.0,0.0,51.0
round_52,0.8904931691975496,0.628795412622279,0.905745148469136,0.8136281065586425,0.6549651882798061,0.0,0.0,0.0,52.0
round_53,0.8881454252091656,0.6231324533278605,0.8678947667194498,0.8414060376141409,0.649633750515991,0.0,0.0,0.0,53.0
round_54,0.8959064949429998,0.6341035497562785,0.8928230168446811,0.8324860872640232,0.6602838442749506,0.0,0.0,0.0,54.0
round_55,0.8924829820424085,0.6406639745361814,0.8796648759343686,0.8394052552725928,0.6658458752868042,0.0,0.0,0.0,55.0
round_56,0.879353063902481,0.627356621897709,0.8981088195297414,0.8304160447248539,0.6525562660981863,0.0,0.0,0.0,56.0
round_57,0.8832755995546907,0.6346200910744897,0.8815787643504159,0.8391292052879772,0.6594856419225098,0.0,0.0,0.0,57.0
round_58,0.8898546364548101,0.6420811292284455,0.8647172856791829,0.83008465072928,0.6668584799510819,0.0,0.0,0.0,58.0
round_59,0.899017758744767,0.6444285909336056,0.9020194271171255,0.8389207892834002,0.6698875077147217,0.0,0.0,0.0,59.0
round_60,0.8954251313609084,0.644387887850276,0.8849040917537734,0.8430216802194553,0.6694916122013392,0.0,0.0,0.0,60.0
round_61,0.9007082848234509,0.6354152028188079,0.8728878947764839,0.8548409643359614,0.6619445110192723,0.0,0.0,0.0,61.0
round_62,0.8957773191408126,0.6378045973141541,0.8902717120166042,0.8409679336091516,0.6636018694968199,0.0,0.0,0.0,62.0
round_63,0.8969774682801489,0.6328757287370915,0.8808394794529854,0.8383113150870768,0.6592859026913973,0.0,0.0,0.0,63.0
round_64,0.893616972243675,0.6263779510219368,0.8991092275386202,0.8416161298232254,0.6531018531441106,0.0,0.0,0.0,64.0
round_65,0.8903558787240021,0.628197228333185,0.8571106801770519,0.8465561838115223,0.6544130933722667,0.0,0.0,0.0,65.0
round_66,0.8907671714233534,0.6415077165407854,0.8966113688402809,0.8194714771267648,0.6664336620290422,0.0,0.0,0.0,66.0
round_67,0.8908476484208375,0.6312918601375147,0.9111233986728732,0.8275160673938171,0.6572474389658469,0.0,0.0,0.0,67.0
round_68,0.8929095260989725,0.635049020024446,0.9080454873843176,0.8299063406792914,0.6608350706318986,0.0,0.0,0.0,68.0
round_69,0.8886086088996894,0.6388365690715448,0.9054442256176529,0.8193799764030201,0.6638137730543593,0.0,0.0,0.0,69.0
