epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6832,1.56016,2.44694,1.14724,0.70943,0.09413,0.21099,0.12275,1.45934,2.36555,1.09346,0.000299596,0.000299596,0.000299596
1,42.0528,1.37668,1.43039,1.07605,0.42243,0.37855,0.37774,0.21598,1.30005,1.24716,1.06255,0.000299596,0.000299596,0.000299596
1,42.226,1.30002,1.28373,1.04645,0.45437,0.41436,0.39669,0.23235,1.28849,1.16821,1.05431,0.000299596,0.000299596,0.000299596
1,42.2004,1.24303,1.19441,1.02674,0.48775,0.49825,0.47526,0.27878,1.2502,1.10998,1.04878,0.000299596,0.000299596,0.000299596
1,41.9919,1.20968,1.12636,1.01446,0.62938,0.48238,0.50517,0.29404,1.23685,1.05027,1.03247,0.000299596,0.000299596,0.000299596
1,45.288,1.17254,1.07052,1.00243,0.58417,0.467,0.50741,0.28266,1.28326,1.1016,1.05827,0.000299596,0.000299596,0.000299596
1,45.4572,1.14672,1.02746,0.99327,0.552,0.54301,0.53676,0.31766,1.20888,1.045,1.0252,0.000299596,0.000299596,0.000299596
1,41.9231,1.11831,0.99029,0.98439,0.51805,0.54025,0.52106,0.29843,1.22643,1.04199,1.02759,0.000299596,0.000299596,0.000299596
1,45.4736,1.10064,0.95877,0.97857,0.52546,0.54353,0.49638,0.28009,1.23381,1.09195,1.02446,0.000299596,0.000299596,0.000299596
1,42.2401,1.07874,0.92735,0.97075,0.53766,0.54267,0.53225,0.3031,1.22024,1.12153,1.03067,0.000299596,0.000299596,0.000299596
1,42.0329,1.0734,0.89781,0.96906,0.68569,0.53274,0.5966,0.34297,1.17829,0.94279,1.01316,0.000299596,0.000299596,0.000299596
1,45.2382,1.04985,0.87063,0.96098,0.6191,0.59091,0.58712,0.3319,1.20408,1.00908,1.03521,0.000299596,0.000299596,0.000299596
1,41.9523,1.03626,0.85,0.95719,0.59616,0.54053,0.58061,0.34241,1.22226,0.91024,1.03011,0.000299596,0.000299596,0.000299596
1,41.7892,1.03457,0.83538,0.95537,0.59798,0.57534,0.56421,0.31599,1.21565,0.94869,1.02454,0.000299596,0.000299596,0.000299596
1,41.7694,1.02174,0.81335,0.95129,0.65531,0.57097,0.59592,0.34328,1.2248,0.8993,1.02449,0.000299596,0.000299596,0.000299596
1,41.4577,1.017,0.80139,0.94803,0.73782,0.4916,0.58215,0.33976,1.21602,0.95394,1.0295,0.000299596,0.000299596,0.000299596
1,41.7325,0.99943,0.77844,0.94371,0.72258,0.55828,0.63046,0.36224,1.20111,0.93384,1.02866,0.000299596,0.000299596,0.000299596
1,41.5804,0.98209,0.76107,0.93796,0.77401,0.52535,0.63962,0.37202,1.15684,0.91249,1.01599,0.000299596,0.000299596,0.000299596
1,41.8235,0.96818,0.74777,0.93577,0.7448,0.51918,0.60592,0.35428,1.19836,0.92053,1.03105,0.000299596,0.000299596,0.000299596
1,44.7192,0.95427,0.73397,0.93094,0.7902,0.50712,0.60882,0.36048,1.20413,0.89752,1.02499,0.000299596,0.000299596,0.000299596
1,41.8695,0.94482,0.72062,0.9286,0.67939,0.57505,0.60913,0.3587,1.21014,0.8881,1.01474,0.000299596,0.000299596,0.000299596
1,45.2534,0.93276,0.71236,0.92625,0.67772,0.53997,0.62196,0.36155,1.19722,0.93341,1.02101,0.000299596,0.000299596,0.000299596
1,45.4624,0.92468,0.70148,0.92281,0.73638,0.57016,0.63696,0.37337,1.18419,0.91919,1.01548,0.000299596,0.000299596,0.000299596
1,41.8872,0.91792,0.69427,0.92105,0.64969,0.59561,0.61782,0.36343,1.17979,0.88478,1.01203,0.000299596,0.000299596,0.000299596
1,45.4795,0.91455,0.68558,0.91872,0.77053,0.48949,0.58212,0.34777,1.20586,0.90306,1.02487,0.000299596,0.000299596,0.000299596
1,45.0381,0.9074,0.67684,0.91682,0.79366,0.4928,0.59544,0.34013,1.26889,0.89166,1.06841,0.000299596,0.000299596,0.000299596
1,45.0963,0.88991,0.66221,0.91196,0.6421,0.49388,0.58398,0.34022,1.25198,0.89513,1.05368,0.000299596,0.000299596,0.000299596
1,41.6371,0.88468,0.66032,0.9112,0.75782,0.50784,0.58845,0.33752,1.2492,0.93993,1.03996,0.000299596,0.000299596,0.000299596
1,41.8791,0.89584,0.65656,0.91228,0.7154,0.55024,0.64076,0.37166,1.20861,0.94356,1.02525,0.000299596,0.000299596,0.000299596
1,44.9017,0.88176,0.64627,0.90902,0.79218,0.55063,0.61706,0.36494,1.20324,0.8995,1.02288,0.000299596,0.000299596,0.000299596
1,45.1166,0.87276,0.63944,0.9064,0.62441,0.61092,0.63173,0.3668,1.20208,0.91596,1.02058,0.000299596,0.000299596,0.000299596
1,34.7472,0.87643,0.63792,0.90687,0.68843,0.5697,0.63552,0.36336,1.20647,0.91901,1.03029,0.000299596,0.000299596,0.000299596
