model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_55,0.8929639047712398,0.6504567657807462,0.9243662338247799,0.8324405967978922,0.6747074796797956,0.0,0.0,0.0,55.0
round_56,0.8829073424445992,0.6414432765204535,0.9355381892071544,0.8161538429495311,0.665589683112868,0.0,0.0,0.0,56.0
round_57,0.8854297926148915,0.6456249278360661,0.914487810569602,0.8396037049351287,0.6696054143139486,0.0,0.0,0.0,57.0
round_58,0.8898088068529937,0.6455858057069529,0.8896070654956869,0.8616084988727083,0.670008105821557,0.0,0.0,0.0,58.0
round_59,0.8945175467601166,0.6514325847947112,0.9047113942361753,0.8411307031860099,0.6757410809912517,0.0,0.0,0.0,59.0
round_60,0.9034042356789541,0.6454648362478049,0.9318407220360898,0.8336802176264525,0.6712587761909199,0.0,0.0,0.0,60.0
round_61,0.888355540783232,0.6453436264290876,0.8856615647352372,0.8432620693297476,0.669644817864502,0.0,0.0,0.0,61.0
round_62,0.9021366750806485,0.645177989701404,0.89924756826854,0.8492325890724064,0.6708738582393285,0.0,0.0,0.0,62.0
round_63,0.8868643570010896,0.6414075400671598,0.8803197739045622,0.8538477938429718,0.6659532217605528,0.0,0.0,0.0,63.0
round_64,0.8883042981642756,0.6405060512136762,0.8908509743678328,0.8582397439953589,0.6652858759087361,0.0,0.0,0.0,64.0
round_65,0.8947196467815351,0.6476281910343941,0.8988469192452904,0.8446207431637196,0.6723373366091082,0.0,0.0,0.0,65.0
round_66,0.9001278355057514,0.6432569573650805,0.8928381364123927,0.8555642312556176,0.6689440451791476,0.0,0.0,0.0,66.0
round_67,0.8915067796673313,0.6414769583014596,0.9099977017607891,0.8309717001795417,0.6664799404380468,0.0,0.0,0.0,67.0
round_68,0.8956958764050917,0.6458090222821302,0.9089297719635338,0.8464236578982298,0.6707977076944264,0.0,0.0,0.0,68.0
round_69,0.8875128331566537,0.6433033492217822,0.9127050290984,0.838081429470443,0.6677242976152694,0.0,0.0,0.0,69.0
round_70,0.8850851450737689,0.643509653036264,0.8948159262883963,0.8514792441178679,0.6676672022400145,0.0,0.0,0.0,70.0
round_71,0.8822067129430204,0.6400138143446871,0.9188347343809508,0.811271770190081,0.6642331042045204,0.0,0.0,0.0,71.0
round_72,0.88324168303555,0.6338611004158544,0.9261045386096303,0.8157238805323518,0.6587991586778239,0.0,0.0,0.0,72.0
