epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,852.815,0.84307,0.5293,0.91331,0.85,0.78177,0.85472,0.60047,0.82151,0.49543,0.91421,0.000494885,0.000494885,0.000494885
43,873.183,0.83928,0.52625,0.91239,0.86645,0.78598,0.86062,0.60446,0.81844,0.4955,0.91721,0.000486639,0.000486639,0.000486639
44,893.387,0.8311,0.51965,0.90997,0.83589,0.79786,0.85239,0.59424,0.81533,0.49178,0.91276,0.000478392,0.000478392,0.000478392
45,913.57,0.8243,0.51604,0.90938,0.85087,0.80531,0.864,0.60549,0.81123,0.48329,0.91018,0.000470145,0.000470145,0.000470145
46,933.844,0.82632,0.51738,0.90927,0.85655,0.79238,0.8624,0.60099,0.81463,0.48625,0.91097,0.000461898,0.000461898,0.000461898
47,954.023,0.82106,0.51422,0.90673,0.85488,0.79218,0.86544,0.6115,0.81221,0.48289,0.912,0.000453652,0.000453652,0.000453652
48,974.307,0.81527,0.50892,0.90529,0.85249,0.79517,0.86135,0.60787,0.80246,0.47921,0.90721,0.000445405,0.000445405,0.000445405
49,994.429,0.80843,0.50534,0.90379,0.8569,0.80617,0.86467,0.61183,0.80344,0.47178,0.91052,0.000437158,0.000437158,0.000437158
50,1014.62,0.80552,0.50132,0.90251,0.84134,0.80548,0.8603,0.61487,0.79656,0.47366,0.90715,0.000428912,0.000428912,0.000428912
51,1034.99,0.80703,0.50299,0.90315,0.85695,0.78397,0.854,0.60363,0.79984,0.48261,0.91181,0.000420665,0.000420665,0.000420665
52,1055.18,0.80149,0.50008,0.90065,0.84876,0.80329,0.85934,0.61775,0.78576,0.46623,0.90612,0.000412418,0.000412418,0.000412418
53,1075.39,0.80266,0.50083,0.9016,0.86298,0.81098,0.8704,0.61658,0.7868,0.46413,0.90604,0.000404172,0.000404172,0.000404172
54,1095.82,0.79445,0.49444,0.90036,0.8553,0.83858,0.87295,0.6215,0.78517,0.4664,0.90099,0.000395925,0.000395925,0.000395925
55,1116.07,0.79485,0.49234,0.89848,0.89221,0.79715,0.87709,0.62855,0.78181,0.46819,0.90448,0.000387678,0.000387678,0.000387678
56,1136.27,0.78832,0.48999,0.89755,0.85783,0.82736,0.87725,0.6252,0.78524,0.46455,0.90517,0.000379431,0.000379431,0.000379431
57,1156.6,0.78487,0.48599,0.89644,0.90085,0.76981,0.87406,0.6277,0.78206,0.4602,0.90465,0.000371185,0.000371185,0.000371185
58,1176.79,0.78259,0.48565,0.89445,0.8867,0.79252,0.87055,0.62696,0.77719,0.46083,0.90348,0.000362938,0.000362938,0.000362938
59,1196.94,0.78184,0.48366,0.89572,0.88575,0.80606,0.87837,0.63887,0.77238,0.45485,0.90004,0.000354691,0.000354691,0.000354691
60,1217.26,0.77894,0.48182,0.89251,0.87612,0.81588,0.87783,0.63266,0.77176,0.45625,0.90301,0.000346445,0.000346445,0.000346445
61,1237.45,0.77504,0.48112,0.89282,0.87736,0.81579,0.87351,0.63455,0.76937,0.45277,0.89912,0.000338198,0.000338198,0.000338198
62,1257.66,0.76477,0.47214,0.8877,0.86496,0.80826,0.87717,0.63826,0.76642,0.45287,0.89806,0.000329951,0.000329951,0.000329951
63,1277.96,0.76814,0.47618,0.89287,0.88225,0.80443,0.88129,0.64444,0.7691,0.45,0.8996,0.000321705,0.000321705,0.000321705
64,1298.09,0.76892,0.47754,0.89213,0.89968,0.81177,0.87941,0.63427,0.76952,0.45197,0.90102,0.000313458,0.000313458,0.000313458
65,1318.34,0.76116,0.47,0.88896,0.9055,0.80743,0.88465,0.64505,0.75783,0.4454,0.89739,0.000305211,0.000305211,0.000305211
66,1338.58,0.75731,0.46705,0.88624,0.87007,0.83025,0.88273,0.64565,0.75861,0.44797,0.89285,0.000296964,0.000296964,0.000296964
67,1358.78,0.7526,0.46411,0.88306,0.88601,0.8105,0.88331,0.64261,0.75599,0.44401,0.8942,0.000288718,0.000288718,0.000288718
68,1379.12,0.74852,0.46384,0.88479,0.86884,0.81169,0.88031,0.6431,0.75014,0.4435,0.88983,0.000280471,0.000280471,0.000280471
69,1399.29,0.75249,0.46462,0.8859,0.89457,0.80873,0.88252,0.6499,0.75102,0.44188,0.89087,0.000272224,0.000272224,0.000272224
70,1419.49,0.75098,0.46208,0.88535,0.89885,0.80652,0.88268,0.64765,0.74808,0.44076,0.89116,0.000263978,0.000263978,0.000263978
71,1439.83,0.74713,0.46309,0.88332,0.87853,0.82113,0.88204,0.64845,0.74743,0.44078,0.89049,0.000255731,0.000255731,0.000255731
72,1460.02,0.74629,0.46022,0.88427,0.89821,0.80779,0.87996,0.64379,0.7496,0.43789,0.89062,0.000247484,0.000247484,0.000247484
73,1480.22,0.73876,0.45681,0.88233,0.90703,0.82361,0.88839,0.64516,0.74544,0.43787,0.89152,0.000239238,0.000239238,0.000239238
74,1500.56,0.73694,0.45308,0.88056,0.89468,0.81273,0.87636,0.64788,0.74164,0.43604,0.89146,0.000230991,0.000230991,0.000230991
75,1520.8,0.73186,0.4511,0.8791,0.89253,0.81083,0.88053,0.6474,0.73991,0.43414,0.88885,0.000222744,0.000222744,0.000222744
76,1541.17,0.73087,0.45063,0.87912,0.9085,0.79918,0.88031,0.65002,0.74077,0.43446,0.88795,0.000214497,0.000214497,0.000214497
77,1561.36,0.72718,0.44741,0.87847,0.86485,0.81661,0.87994,0.64987,0.73716,0.43278,0.88644,0.000206251,0.000206251,0.000206251
78,1581.52,0.72379,0.448,0.87812,0.89107,0.81435,0.879,0.65085,0.73465,0.43092,0.88699,0.000198004,0.000198004,0.000198004
79,1601.8,0.7216,0.44236,0.87714,0.88638,0.81215,0.87946,0.65301,0.73632,0.43231,0.88874,0.000189757,0.000189757,0.000189757
80,1621.91,0.71984,0.44212,0.87803,0.89603,0.80781,0.87925,0.65257,0.73619,0.43376,0.88925,0.000181511,0.000181511,0.000181511
81,1642.18,0.72015,0.44426,0.8773,0.88656,0.80619,0.88171,0.65616,0.7303,0.42977,0.88692,0.000173264,0.000173264,0.000173264
82,1662.51,0.71533,0.44066,0.87567,0.89862,0.80522,0.88291,0.65762,0.73199,0.429,0.88698,0.000165017,0.000165017,0.000165017
83,1682.68,0.7137,0.43899,0.87596,0.89767,0.8125,0.88242,0.65565,0.73286,0.42917,0.88773,0.000156771,0.000156771,0.000156771
84,1702.83,0.71108,0.43814,0.87505,0.90578,0.80528,0.88285,0.65885,0.73157,0.42821,0.88642,0.000148524,0.000148524,0.000148524
85,1723.07,0.70809,0.43614,0.87376,0.90133,0.82432,0.88845,0.66055,0.72848,0.42609,0.8862,0.000140277,0.000140277,0.000140277
86,1743.23,0.70529,0.43638,0.87385,0.89037,0.83239,0.8867,0.65777,0.72834,0.42567,0.88447,0.000132031,0.000132031,0.000132031
87,1763.49,0.70584,0.43412,0.87274,0.88234,0.82816,0.88571,0.65787,0.7266,0.42245,0.88357,0.000123784,0.000123784,0.000123784
88,1783.61,0.70355,0.43347,0.86998,0.90193,0.81014,0.88303,0.65631,0.72465,0.42279,0.8821,0.000115537,0.000115537,0.000115537
89,1803.75,0.70225,0.43053,0.87252,0.89783,0.80706,0.88258,0.65433,0.72495,0.42352,0.88233,0.00010729,0.00010729,0.00010729
90,1824.03,0.69545,0.42795,0.87065,0.88483,0.81781,0.88285,0.65657,0.72414,0.42268,0.88071,9.90437e-05,9.90437e-05,9.90437e-05
91,1846.35,0.69151,0.41637,0.86493,0.87079,0.82297,0.88131,0.65355,0.73344,0.42823,0.88258,9.0797e-05,9.0797e-05,9.0797e-05
92,1866.21,0.66706,0.40151,0.85799,0.87201,0.8291,0.88441,0.65286,0.73324,0.42741,0.88314,8.25503e-05,8.25503e-05,8.25503e-05
93,1886.25,0.66064,0.39802,0.85624,0.89072,0.81796,0.88648,0.65299,0.73204,0.42601,0.8837,7.43036e-05,7.43036e-05,7.43036e-05
94,1906.15,0.65325,0.39528,0.85591,0.90664,0.80551,0.88281,0.65537,0.73181,0.42468,0.88307,6.60569e-05,6.60569e-05,6.60569e-05
95,1926.03,0.65216,0.39411,0.85435,0.87202,0.82505,0.88279,0.65256,0.73023,0.4235,0.88317,5.78102e-05,5.78102e-05,5.78102e-05
96,1946.02,0.64698,0.3917,0.85281,0.87467,0.82162,0.88782,0.65691,0.72775,0.42246,0.88202,4.95635e-05,4.95635e-05,4.95635e-05
97,1965.85,0.64454,0.38748,0.85122,0.90738,0.79579,0.88762,0.65779,0.72636,0.42127,0.88163,4.13168e-05,4.13168e-05,4.13168e-05
98,1985.69,0.64142,0.38663,0.84944,0.90678,0.79712,0.88637,0.65928,0.72697,0.42212,0.88148,3.30701e-05,3.30701e-05,3.30701e-05
99,2005.71,0.6382,0.38673,0.85148,0.90253,0.80051,0.88456,0.65795,0.72637,0.42247,0.88126,2.48234e-05,2.48234e-05,2.48234e-05
100,2025.59,0.63717,0.38524,0.85089,0.90747,0.7968,0.88559,0.6579,0.72589,0.42303,0.8812,1.65767e-05,1.65767e-05,1.65767e-05
