model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_1,0.22892326546958738,0.14021349149370158,0.01567546241807512,0.5419634389986185,0.14908446889129018,0.0,0.0,0.0,1.0
round_2,0.4582171025978525,0.28635769948670764,0.7634840242854833,0.34896565445453015,0.3035436397978222,0.0,0.0,0.0,2.0
round_3,0.5243307176030219,0.32066844279942125,0.736750035347038,0.4625400572903775,0.34103467027978135,0.0,0.0,0.0,3.0
round_4,0.546760481098792,0.3425424757830912,0.7427479011108594,0.4997742129689478,0.36296427631466127,0.0,0.0,0.0,4.0
round_5,0.5670136435383352,0.36244290268359297,0.7775297844301768,0.49526089283715186,0.3828999767690672,0.0,0.0,0.0,5.0
round_6,0.5991438412058219,0.379914837789444,0.8500837105654894,0.48864929794993917,0.4018377381310818,0.0,0.0,0.0,6.0
round_7,0.614697940206735,0.3974294624852268,0.8310426297078405,0.513063269980086,0.41915631025737765,0.0,0.0,0.0,7.0
round_8,0.6290303526487936,0.409403275487709,0.6632745399812234,0.6051828464514468,0.43136598320381747,0.0,0.0,0.0,8.0
round_9,0.6398207308118182,0.4131905083162207,0.7826361478654432,0.5693082748924773,0.4358535305657804,0.0,0.0,0.0,9.0
round_10,0.6461030266628478,0.4183247333384131,0.7242823022995682,0.5801324639458247,0.44110256267085657,0.0,0.0,0.0,10.0
round_11,0.6528445361942955,0.42407789245088384,0.7712119908054758,0.5770999196177866,0.446954556825225,0.0,0.0,0.0,11.0
round_12,0.6530916639534559,0.42253327385017037,0.7540431241293222,0.5841745127194793,0.44558911286049896,0.0,0.0,0.0,12.0
round_13,0.6562909504183907,0.41796824883907835,0.7899943864308371,0.5729699038468142,0.44180051899700956,0.0,0.0,0.0,13.0
round_14,0.6581966573666252,0.42019206179092883,0.7850028656173712,0.5951614506342421,0.4439925213484985,0.0,0.0,0.0,14.0
round_15,0.6595598104640633,0.42506421560816193,0.7709485931962233,0.5903761714067535,0.44851377509375207,0.0,0.0,0.0,15.0
round_16,0.6748555510845005,0.43124306153435576,0.8201389719641604,0.5698123571680201,0.4556043104893703,0.0,0.0,0.0,16.0
round_17,0.6862163621285134,0.4418857906565723,0.8111111286210944,0.5916558544999962,0.4663188478037664,0.0,0.0,0.0,17.0
round_18,0.6777583336579637,0.43673194903588136,0.7458348469053867,0.6167160881458146,0.4608345874980896,0.0,0.0,0.0,18.0
round_19,0.6848217297746448,0.4385842190700965,0.762340771894773,0.6149502624065989,0.4632079701405514,0.0,0.0,0.0,19.0
