epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6969,1.82412,2.89409,1.21987,0.01141,0.35961,0.12263,0.06451,1.721,3.42601,1.1625,0.000296267,0.000296267,0.000296267
2,64.2092,1.59816,1.64647,1.15145,0.938,0.06674,0.29589,0.15013,1.70774,2.48196,1.13323,0.000480612,0.000480612,0.000480612
3,94.6812,1.55635,1.5044,1.13302,0.39886,0.37291,0.37512,0.19447,1.65402,1.7093,1.11913,0.000544969,0.000544969,0.000544969
4,115.912,1.51242,1.4245,1.11119,0.53258,0.46391,0.47754,0.24629,1.58387,1.3068,1.11675,0.000369054,0.000369054,0.000369054
5,133.862,1.43433,1.30152,1.08306,0.68979,0.48223,0.56728,0.312,1.49871,1.2223,1.07812,0.000189072,0.000189072,0.000189072
1,35.6339,1.43636,1.26316,1.0945,0.6207,0.50697,0.5586,0.31106,1.57727,1.22508,1.12389,0.000296267,0.000296267,0.000296267
2,69.2817,1.3913,1.17265,1.08194,0.65069,0.51489,0.58494,0.33582,1.5097,1.15419,1.09915,0.000480612,0.000480612,0.000480612
3,98.4293,1.38668,1.14217,1.08366,0.70333,0.47931,0.56477,0.31307,1.54225,1.19645,1.1247,0.000544969,0.000544969,0.000544969
4,115.444,1.38089,1.11962,1.0705,0.71752,0.55663,0.64666,0.37698,1.44204,1.07552,1.09138,0.000369054,0.000369054,0.000369054
5,135.318,1.30642,1.0201,1.04335,0.74646,0.61991,0.69916,0.41254,1.37488,1.00168,1.0606,0.000189072,0.000189072,0.000189072
1,33.6734,1.34295,1.0553,1.06676,0.65258,0.55264,0.63972,0.37755,1.46077,1.05163,1.08903,0.000296267,0.000296267,0.000296267
2,70.1892,1.31348,1.01316,1.05705,0.70198,0.54728,0.63312,0.38178,1.41538,1.06179,1.08041,0.000480612,0.000480612,0.000480612
3,101.679,1.31323,1.00252,1.05807,0.58904,0.62833,0.64199,0.37283,1.46452,1.16329,1.0937,0.000544969,0.000544969,0.000544969
4,121.411,1.31213,0.99954,1.04452,0.71054,0.64402,0.70801,0.42956,1.37912,1.00452,1.06996,0.000369054,0.000369054,0.000369054
5,140.629,1.24649,0.91873,1.02359,0.70573,0.68024,0.73113,0.44368,1.30638,0.94382,1.04125,0.000189072,0.000189072,0.000189072
1,29.6507,1.28867,0.95945,1.04683,0.70196,0.64389,0.6821,0.40915,1.42669,0.99114,1.07511,0.000296267,0.000296267,0.000296267
2,63.0089,1.26276,0.93807,1.03683,0.67983,0.57227,0.66499,0.40132,1.41521,1.00383,1.08815,0.000480612,0.000480612,0.000480612
3,94.7685,1.26685,0.9351,1.04136,0.68878,0.60418,0.6752,0.40924,1.45242,1.01956,1.09877,0.000544969,0.000544969,0.000544969
4,115.22,1.27373,0.93177,1.03227,0.72904,0.62915,0.7209,0.44346,1.35536,0.9257,1.05553,0.000369054,0.000369054,0.000369054
5,135.4,1.21377,0.86161,1.01064,0.77978,0.6815,0.75275,0.46071,1.28316,0.89097,1.02971,0.000189072,0.000189072,0.000189072
1,33.8273,1.24715,0.90218,1.03173,0.75805,0.64712,0.71542,0.44476,1.38554,0.95793,1.06469,0.000296267,0.000296267,0.000296267
2,70.2398,1.23578,0.8835,1.02858,0.77526,0.59966,0.7111,0.43131,1.38157,0.99883,1.07021,0.000480612,0.000480612,0.000480612
3,101.683,1.23792,0.88819,1.0298,0.71654,0.63664,0.72672,0.4444,1.35622,0.97393,1.06715,0.000544969,0.000544969,0.000544969
4,121.267,1.24807,0.89403,1.02173,0.79571,0.59408,0.7217,0.4537,1.32787,0.91312,1.04241,0.000369054,0.000369054,0.000369054
5,140.675,1.18753,0.82645,1.00294,0.82419,0.64586,0.77223,0.47307,1.27096,0.86177,1.02663,0.000189072,0.000189072,0.000189072
1,31.9722,1.21289,0.86121,1.01994,0.73036,0.61864,0.71542,0.43962,1.37563,0.92604,1.06566,0.000296267,0.000296267,0.000296267
2,66.2564,1.19842,0.8489,1.01386,0.7285,0.66265,0.70786,0.43351,1.35121,0.96694,1.05901,0.000480612,0.000480612,0.000480612
3,98.3278,1.21562,0.85442,1.01689,0.71067,0.67609,0.72081,0.45102,1.38123,0.97523,1.06747,0.000544969,0.000544969,0.000544969
4,117.654,1.22291,0.85726,1.01295,0.76447,0.67638,0.77056,0.49102,1.31486,0.8815,1.04733,0.000369054,0.000369054,0.000369054
5,136.182,1.16773,0.80326,0.99541,0.77829,0.67276,0.78399,0.50082,1.24775,0.85136,1.02296,0.000189072,0.000189072,0.000189072
1,35.3622,1.18745,0.8328,1.0115,0.84356,0.60008,0.7498,0.47245,1.33712,0.87454,1.04953,0.000296267,0.000296267,0.000296267
2,70.1247,1.17296,0.81632,1.00338,0.76098,0.64662,0.7563,0.46435,1.33364,0.91513,1.05344,0.000480612,0.000480612,0.000480612
3,99.5093,1.19632,0.82931,1.01126,0.76299,0.62578,0.72863,0.44345,1.34612,0.91951,1.04674,0.000544969,0.000544969,0.000544969
4,117.513,1.20411,0.83338,1.00686,0.76739,0.683,0.7775,0.49954,1.30294,0.8647,1.03711,0.000369054,0.000369054,0.000369054
5,137.523,1.15,0.77971,0.99013,0.75461,0.7422,0.81585,0.51222,1.24408,0.82737,1.01686,0.000189072,0.000189072,0.000189072
1,35.4982,1.16872,0.80876,1.00494,0.75775,0.68074,0.75521,0.4779,1.32347,0.86175,1.03772,0.000296267,0.000296267,0.000296267
2,71.4026,1.15895,0.79774,0.99688,0.72541,0.66065,0.7372,0.46256,1.31579,0.87864,1.04358,0.000480612,0.000480612,0.000480612
3,102.533,1.18656,0.81428,1.00538,0.73032,0.65501,0.73341,0.46017,1.31601,0.90615,1.04129,0.000544969,0.000544969,0.000544969
4,121.543,1.18871,0.81215,1.0003,0.81801,0.6929,0.79905,0.50683,1.26586,0.83763,1.02835,0.000369054,0.000369054,0.000369054
5,140.817,1.13948,0.76656,0.9862,0.81186,0.69355,0.81021,0.51893,1.24023,0.79449,1.01271,0.000189072,0.000189072,0.000189072
1,36.0399,1.14961,0.78889,0.99857,0.78433,0.63387,0.75682,0.47398,1.34374,0.85064,1.04747,0.000296267,0.000296267,0.000296267
2,70.2613,1.14007,0.77794,0.98949,0.76948,0.71501,0.78931,0.49952,1.30579,0.85368,1.03927,0.000480612,0.000480612,0.000480612
3,97.6917,1.17427,0.79911,1.0012,0.75656,0.68157,0.76197,0.47295,1.2829,0.87604,1.03011,0.000544969,0.000544969,0.000544969
4,112.84,1.17145,0.79601,0.99566,0.83819,0.69285,0.81644,0.52257,1.23759,0.81677,1.01329,0.000369054,0.000369054,0.000369054
