epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4597,1.78425,3.23744,1.19746,0.01485,0.3811,0.08913,0.04706,1.78837,3.40413,1.12126,0.00025452,0.00025452,0.00025452
2,44.6785,1.59421,1.64475,1.14272,0.02116,0.61012,0.25852,0.14264,1.63693,3.09,1.1359,0.00041554,0.00041554,0.00041554
3,67.581,1.5061,1.45041,1.11999,0.88665,0.07389,0.34773,0.19241,1.6888,2.51383,1.17145,0.000472171,0.000472171,0.000472171
4,85.5087,1.44481,1.35348,1.09384,0.79722,0.44483,0.5306,0.30941,1.54901,1.72578,1.10211,0.000369054,0.000369054,0.000369054
5,103.318,1.39009,1.25697,1.0793,0.85157,0.52212,0.60581,0.39179,1.45695,1.4429,1.07014,0.000189072,0.000189072,0.000189072
1,24.1954,1.31107,1.07598,1.04665,0.84897,0.53479,0.67473,0.42567,1.42217,1.16171,1.08438,0.00025452,0.00025452,0.00025452
2,44.5863,1.30214,1.02856,1.05127,0.73547,0.61521,0.67678,0.41786,1.3701,1.06839,1.06665,0.00041554,0.00041554,0.00041554
3,66.7767,1.28078,0.99691,1.04548,0.78066,0.64872,0.72912,0.45299,1.38478,1.00233,1.07921,0.000472171,0.000472171,0.000472171
4,88.5259,1.25088,0.96501,1.02915,0.86351,0.63073,0.75484,0.46469,1.36979,0.95866,1.081,0.000369054,0.000369054,0.000369054
5,103.057,1.22194,0.92838,1.0245,0.85735,0.66007,0.75301,0.49255,1.28145,0.90995,1.04093,0.000189072,0.000189072,0.000189072
1,24.9771,1.20872,0.87623,1.01574,0.81927,0.69193,0.78178,0.47991,1.30534,0.89832,1.05162,0.00025452,0.00025452,0.00025452
2,50.4133,1.21372,0.87656,1.0195,0.79838,0.68232,0.76125,0.47038,1.34689,0.95581,1.063,0.00041554,0.00041554,0.00041554
3,72.1886,1.18991,0.86386,1.01758,0.78163,0.73151,0.77633,0.51989,1.26738,0.89906,1.0435,0.000472171,0.000472171,0.000472171
4,92.9245,1.17681,0.84693,1.00764,0.81494,0.69225,0.79298,0.50903,1.25053,0.8587,1.04883,0.000369054,0.000369054,0.000369054
5,110.034,1.1537,0.81921,1.0025,0.80615,0.70952,0.79586,0.53622,1.21997,0.83848,1.02922,0.000189072,0.000189072,0.000189072
1,22.5246,1.15149,0.79904,0.9962,0.79871,0.75453,0.80308,0.52521,1.22682,0.82707,1.01769,0.00025452,0.00025452,0.00025452
2,44.3183,1.15595,0.79644,0.99971,0.83547,0.7083,0.79384,0.51939,1.23781,0.86648,1.04195,0.00041554,0.00041554,0.00041554
3,66.6854,1.14293,0.79991,1.00083,0.75556,0.76528,0.79587,0.53292,1.20451,0.86173,1.022,0.000472171,0.000472171,0.000472171
4,86.5233,1.12817,0.78892,0.9914,0.80167,0.72814,0.79872,0.5302,1.22369,0.81976,1.03036,0.000369054,0.000369054,0.000369054
5,105.224,1.11003,0.76122,0.98676,0.87197,0.69218,0.82241,0.56148,1.17008,0.77649,1.00895,0.000189072,0.000189072,0.000189072
